团队名称,性别,平均速度,中位数,方差,总平均速度
哈尔滨工业大学-过程淘汰队,男,13分 32.674秒,13分 37.400秒,239.65076964285626,14分 3.586秒
大连交通大学-大铁青年队,男,13分 36.236秒,13分 31.385秒,484.923998214285,14分 30.805秒
天津大学-北洋1895,男,13分 36.525秒,13分 42.645秒,805.3007428571424,14分 14.458秒
大连理工大学-追梦玉兰长跑协会,男,13分 45.059秒,13分 45.055秒,935.6772696428562,14分 16.767秒
东北大学-一二九战队,男,13分 47.842秒,13分 52.270秒,553.2765071428583,14分 27.161秒
吉林大学-芝士雪豹队,男,13分 51.289秒,13分 43.640秒,312.10532678571604,14分 25.968秒
东北电力大学-东风逐电,男,13分 52.796秒,13分 53.075秒,540.3655982142889,15分 17.451秒
沈阳建筑大学-圣剑跑团,男,13分 55.760秒,14分 1.700秒,2050.402085714287,14分 54.157秒
哈尔滨工程大学-蓝疆守望,男,14分 1.795秒,13分 58.875秒,388.8400857142851,14分 51.664秒
河北农业大学-太行之鹰,男,14分 16.191秒,14分 18.740秒,247.35118392857046,14分 38.296秒
东北林业大学-東木林森队,男,14分 20.635秒,14分 12.805秒,1654.9989428571437,15分 9.904秒
沈阳化工大学-AWESOME锕铯钼战队,男,14分 27.352秒,14分 53.055秒,3265.963964285717,15分 34.438秒
辽宁大学-天辽地大,男,14分 41.214秒,15分 1.575秒,2024.5408267857163,15分 32.621秒
辽宁科技大学-不吃辣堡队,男,14分 41.418秒,14分 41.710秒,2895.2697071428547,15分 24.796秒
辽宁科技学院-逐风者跑团,男,14分 43.737秒,14分 43.040秒,2230.3174499999986,16分 8.391秒
沈阳农业大学-沈农最速跑团,男,14分 44.793秒,14分 23.255秒,8706.849678571429,15分 22.336秒
东北大学-一二九战队二队,男,14分 47.062秒,14分 42.600秒,512.8781071428588,15分 32.998秒
沈阳药科大学-我就是药神,男,14分 9.327秒,14分 11.005秒,914.3347928571404,14分 46.533秒
哈尔滨工业大学-过程淘汰二队,男,15分 18.265秒,15分 10.890秒,3977.322142857134,15分 55.254秒
营口理工学院-营理跑男团,男,15分 2.174秒,15分 2.165秒,5951.674712499994,16分 6.215秒
吉林大学-芝士雪豹二队,男,15分 35.174秒,15分 4.560秒,6336.725995238104,16分 37.274秒
沈阳药科大学-我就是药神二队,男,15分 6.114秒,15分 15.545秒,2055.576998214282,15分 40.783秒
哈尔滨医科大学-哈医大跑团,男,16分 13.903秒,15分 51.350秒,16702.39365714285,17分 30.498秒
吉林师范大学-吉师逐风,男,17分 9.354秒,17分 32.160秒,4188.986395238097,18分 7.465秒
